sistema,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ecobici,283,Avenida Coyoacan,Rafael Donde,Del Valle Norte,Benito Juarez,19.397923,-99.167248,Arroyo,Instalada
Ecobici,291,Magdalena,Av. Division del Norte,Del Valle Norte,Benito Juarez,19.397651,-99.169946,Arroyo,Instalada
Ecobici,292,Adolfo Prieto,Eje 4 Sur Xola,Del Valle Norte,Benito Juarez,19.396917,-99.166264,Arroyo,Instalada
Ecobici,293,Mier y Pesado,Eje 4 Sur Xola,Del Valle Norte,Benito Juarez,19.397373,-99.164598,Arroyo,Instalada
Ecobici,298,Romero de Terreros,Eje 2 Pte. Gabriel Mancera,Del Valle Norte,Benito Juarez,19.394092,-99.162139,Arroyo,Instalada
Ecobici,299,Romero de Terreros,Mier y Pesado,Del Valle Norte,Benito Juarez,19.394601,-99.165054,Arroyo,Instalada
Ecobici,300,Providencia,Luz Savi<f1>on,Del Valle Norte,Benito Juarez,19.3932287,-99.1684308,Arroyo,Instalada
Ecobici,301,Luz Savi<f1>on,Magdalena,Del Valle Norte,Benito Juarez,19.393807,-99.171133,Arroyo,Instalada
Ecobici,302,Luz Savi<f1>on,Magdalena,Del Valle Norte,Benito Juarez,19.393832,-99.171466,Arroyo,Instalada
Ecobici,316,San Francisco,Concepcion Beistegui,Del Valle Norte,Benito Juarez,19.391056,-99.1712,Arroyo,Instalada
Ecobici,317,Avenida Coyoacan,Torres Adalid,Del Valle Norte,Benito Juarez,19.391456,-99.166157,Arroyo,Instalada
Ecobici,318,Luz Savi<f1>on,Amores,Del Valle Norte,Benito Juarez,19.392195,-99.163987,Arroyo,Instalada
Ecobici,319,Diagonal San Antonio,Luz Savi<f1>on,Del Valle Norte,Benito Juarez,19.391991,-99.162684,Arroyo,Instalada
Ecobici,323,Concepcion Beistegui,Eje 2 Pte. Gabriel Mancera,Del Valle Norte,Benito Juarez,19.388927,-99.163127,Arroyo,Instalada
Ecobici,372,Doctor Roberto Gayol,Tlacoquemecatl,Del Valle Sur,Benito Juarez,19.377966,-99.170272,Arroyo,Instalada
Ecobici,377,Heriberto Frias,Miguel Laurent,Del Valle Sur,Benito Juarez,19.375397,-99.163778,Arroyo,Instalada
Ecobici,378,Miguel Laurent,Amores,Del Valle Sur,Benito Juarez,19.375865,-99.168219,Arroyo,Instalada
Ecobici,394,Doctor Roberto Gayol,Felix Cuevas,Del Valle Sur,Benito Juarez,19.372474,-99.171639,Arroyo,Instalada
