Prefix,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ce,204,Temístocles,Homero,Polanco,Miguel Hidalgo,19.435882,-99.19152,Arroyo,Instalada
Ce,205,Taine,Homero,Polanco,Miguel Hidalgo,19.435525,-99.184713,Arroyo,Instalada
Ce,206,Homero,Moliere,Polanco,Miguel Hidalgo,19.436142,-99.200996,Arroyo,Instalada
Ce,207,Torquato Tasso,Homero,Polanco,Miguel Hidalgo,19.434861,-99.183322,Arroyo,Instalada
Ce,208,Hesiodo,Lamartine,Polanco,Miguel Hidalgo,19.434182,-99.189835,Arroyo,Instalada
Ce,209,Solón,Horacio,Polanco,Miguel Hidalgo,19.435478,-99.206359,Arroyo,Instalada
Ce,210,Eugenio Sue,Horacio,Polanco,Miguel Hidalgo,19.434076,-99.194091,Arroyo,Instalada
Ce,211,Isaac Newton,Horacio,Polanco,Miguel Hidalgo,19.433607,-99.188528,Arroyo,Instalada
Ce,212,Hegel,Horacio,Polanco,Miguel Hidalgo,19.433567,-99.188096,Arroyo,Instalada
Ce,213,Solón,Cicerón,Polanco,Miguel Hidalgo,19.434361,-99.206342,Arroyo,Instalada
Ce,214,Platón,Horacio,Polanco,Miguel Hidalgo,19.434353,-99.20322,Arroyo,Instalada
Ce,215,Edgar Alan Poe,Horacio,Polanco,Miguel Hidalgo,19.43384,-99.19968,Arroyo,Instalada
Ce,216,Alejandro Dumas,Horacio,Polanco,Miguel Hidalgo,19.433419,-99.195746,Arroyo,Instalada
Ce,217,Euler,Horacio,Polanco,Miguel Hidalgo,19.432888,-99.183605,Arroyo,Instalada
Ce,218,Hegel,Ibarbourou,Polanco,Miguel Hidalgo,19.432451,-99.188033,Arroyo,Instalada
Ce,219,Esopo,Fc De Cuernavaca,Polanco,Miguel Hidalgo,19.433542,-99.207808,Arroyo,Instalada
Ce,220,Plinio,Presidente Masaryk,Polanco,Miguel Hidalgo,19.432655,-99.205727,Arroyo,Instalada
Ce,221,Emilio Castelar,Presidente Masaryk,Polanco,Miguel Hidalgo,19.431799,-99.201565,Arroyo,Instalada
Ce,222,Alejandro Dumas,Presidente Masarik,Polanco,Miguel Hidalgo,19.431417,-99.195774,Arroyo,Instalada
Ce,223,Isaac Newton,Presidente Masaryk,Polanco,Miguel Hidalgo,19.431242,-99.191613,Arroyo,Instalada
Ce,224,Hegel,Presidente Masaryk,Polanco,Miguel Hidalgo,19.431255,-99.188065,Arroyo,Instalada
Ce,225,Petrarca,Presidente Masaryk,Polanco,Miguel Hidalgo,19.431172,-99.185612,Arroyo,Instalada
Ce,226,Wallon,Presidente Masaryk,Polanco,Miguel Hidalgo,19.431033,-99.18222,Arroyo,Instalada
Ce,227,Campos Elíseos,Periférico,Polanco,Miguel Hidalgo,19.431791,-99.207373,Arroyo,Instalada
Ce,228,Campos Elíseos,La Fontaine,Polanco,Miguel Hidalgo,19.427705,-99.19912,Arroyo,Instalada
Ce,229,Carlos Dickens,Séneca,Polanco,Miguel Hidalgo,19.430515,-99.203331,Banqueta,Instalada
Ce,230,Edgar Allan Poe,Carlos Dickens,Polanco,Miguel Hidalgo,19.430098,-99.200074,Banqueta,Instalada
Ce,231,Isaac Newton,Aristóteles,Polanco,Miguel Hidalgo,19.42977,-99.19349,Arroyo,Instalada
Ce,232,Taine,Rubén Darío,Polanco,Miguel Hidalgo,19.42894,-99.185389,Arroyo,Instalada
Ce,233,Julio Verne,Luis G. Urbina,Polanco,Miguel Hidalgo,19.429314,-99.196965,Arroyo,Instalada
